PMC,X,Y,Z
531,-0.13179,0.13217,0.24552
532,-0.13191,0.13217,0.24552
533,-0.13204,0.13217,0.24552
534,-0.13216,0.13217,0.24551
535,-0.13229,0.13217,0.24551
536,-0.13241,0.13217,0.2455
537,-0.13254,0.13217,0.2455
538,-0.13266,0.13217,0.24549
539,-0.13279,0.13217,0.24549
540,-0.13292,0.13217,0.24548
541,-0.13304,0.13217,0.24548
542,-0.13317,0.13217,0.24548
543,-0.1333,0.13217,0.24548
544,-0.13342,0.13217,0.24549
545,-0.13355,0.13217,0.2455
546,-0.13367,0.13217,0.2455
547,-0.1338,0.13217,0.24551
548,-0.13392,0.13217,0.24552
549,-0.13405,0.13217,0.24553
550,-0.13417,0.13217,0.24552
551,-0.1343,0.13216,0.24552
552,-0.13442,0.13216,0.24551
553,-0.13455,0.13216,0.24551
554,-0.13468,0.13217,0.2455
555,-0.13481,0.13216,0.2455
556,-0.13493,0.13216,0.24551
557,-0.13506,0.13216,0.24552
558,-0.13518,0.13216,0.24553
559,-0.13531,0.13216,0.24554
560,-0.13543,0.13216,0.24555
561,-0.13556,0.13216,0.24556
562,-0.13568,0.13216,0.24557
563,-0.13581,0.13216,0.24557
564,-0.13593,0.13216,0.24556
565,-0.13607,0.13216,0.24555
566,-0.13619,0.13216,0.24554
567,-0.13632,0.13216,0.24553
568,-0.13644,0.13216,0.24552
569,-0.13657,0.13217,0.24551
570,-0.13669,0.13216,0.24551
571,-0.13682,0.13217,0.2455
572,-0.13694,0.13217,0.24549
573,-0.13708,0.13217,0.24548
574,-0.1372,0.13217,0.24547
575,-0.13733,0.13217,0.24548
576,-0.13745,0.13217,0.24548
577,-0.13758,0.13217,0.24549
578,-0.1377,0.13217,0.24549
579,-0.13783,0.13217,0.2455
580,-0.13795,0.13217,0.2455
581,-0.13808,0.13217,0.24551
582,-0.13821,0.13217,0.24551
583,-0.13834,0.13217,0.24551
584,-0.13846,0.13217,0.2455
585,-0.13859,0.13217,0.2455
586,-0.13871,0.13217,0.2455
587,-0.13884,0.13217,0.24551
588,-0.13896,0.13217,0.24551
589,-0.13909,0.13217,0.24551
590,-0.13921,0.13217,0.24551
591,-0.13935,0.13217,0.24551
592,-0.13947,0.13217,0.24551
593,-0.1396,0.13217,0.24551
594,-0.13972,0.13217,0.24551
595,-0.13985,0.13217,0.24552
596,-0.13997,0.13217,0.24552
597,-0.1401,0.13217,0.24552
598,-0.14022,0.13217,0.24552
599,-0.14035,0.13217,0.24552
600,-0.14048,0.13217,0.24553
601,-0.14061,0.13217,0.24553
602,-0.14073,0.13217,0.24554
603,-0.14086,0.13217,0.24554
604,-0.14098,0.13217,0.24555
605,-0.14111,0.13217,0.24555
606,-0.14123,0.13218,0.24555
607,-0.14136,0.13218,0.24554
608,-0.14149,0.13218,0.24553
609,-0.14162,0.13218,0.24552
610,-0.14174,0.13218,0.24551
611,-0.14187,0.13218,0.24549
612,-0.14199,0.13218,0.24547
613,-0.14199,0.13205,0.24546
614,-0.14187,0.13205,0.24548
615,-0.14174,0.13205,0.24551
616,-0.14162,0.13205,0.24552
617,-0.14149,0.13205,0.24553
618,-0.14136,0.13205,0.24554
619,-0.14123,0.13205,0.24555
620,-0.14111,0.13205,0.24556
621,-0.14098,0.13205,0.24556
622,-0.14086,0.13205,0.24556
623,-0.14073,0.13205,0.24555
624,-0.14061,0.13205,0.24555
625,-0.14048,0.13205,0.24554
626,-0.14034,0.13205,0.24554
627,-0.14022,0.13205,0.24554
628,-0.1401,0.13205,0.24554
629,-0.13997,0.13205,0.24554
630,-0.13985,0.13205,0.24553
631,-0.13972,0.13205,0.24553
